02apr12co,RRV001,order2,2012_FDES_CR_02apr12co,2012,FDES_CR
02apr12ms2,RRV002,order2,2012_FDES_CR_02apr12ms2,2012,FDES_CR
03apr12ae,RRV003,order2,2012_FDES_CR_03apr12ae,2012,FDES_CR
09apr12ab,RRV004,order2,2012_FDES_CR_09apr12ab,2012,FDES_CR
09apr12hr,RRV005,order2,2012_FDES_CR_09apr12hr,2012,FDES_CR
09apr12kz,RRV006,order2,2012_FDES_CR_09apr12kz,2012,FDES_CR
10apr12ks,RRV007,order2,2012_FDES_CR_10apr12ks,2012,FDES_CR
10apr12mb,RRV008,order2,2012_FDES_CR_10apr12mb,2012,FDES_CR
11apr12jk,RRV009,order2,2012_FDES_CR_11apr12jk,2012,FDES_CR
11apr12lh,RRV010,order2,2012_FDES_CR_11apr12lh,2012,FDES_CR
12apr12mc,RRV011,order1,2012_FDES_CR_12apr12mc,2012,FDES_CR
17apr12jw,RRV012,order2,2012_FDES_CR_17apr12jw,2012,FDES_CR
17apr12sb,RRV013,order1,2012_FDES_CR_17apr12sb,2012,FDES_CR
24apr12ak,RRV014,order2,2012_FDES_CR_24apr12ak,2012,FDES_CR
25apr12km,RRV015,order1,2012_FDES_CR_25apr12km,2012,FDES_CR
26apr12dm,RRV016,order1,2012_FDES_CR_26apr12dm,2012,FDES_CR
26apr12ma,RRV017,order2,2012_FDES_CR_26apr12ma,2012,FDES_CR
26mar12eb,RRV018,order1,2012_FDES_CR_26mar12eb,2012,FDES_CR
26mar12mb,RRV019,order1,2012_FDES_CR_26mar12mb,2012,FDES_CR
26mar12sm,RRV020,order1,2012_FDES_CR_26mar12sm,2012,FDES_CR
26mar12st,RRV021,order1,2012_FDES_CR_26mar12st,2012,FDES_CR
27mar12ks,RRV022,order1,2012_FDES_CR_27mar12ks,2012,FDES_CR
27mar12rg,RRV023,order1,2012_FDES_CR_27mar12rg,2012,FDES_CR
28mar12ah,RRV024,order1,2012_FDES_CR_28mar12ah,2012,FDES_CR
28mar12kw,RRV025,order1,2012_FDES_CR_28mar12kw,2012,FDES_CR
29mar12cw,RRV026,order1,2012_FDES_CR_29mar12cw,2012,FDES_CR
29mar12kf,RRV027,order1,2012_FDES_CR_29mar12kf,2012,FDES_CR
29mar12kl,RRV028,order1,2012_FDES_CR_29mar12kl,2012,FDES_CR
30mar12ar,RRV029,order2,2012_FDES_CR_30mar12ar,2012,FDES_CR
30mar12pe,RRV030,order1,2012_FDES_CR_30mar12pe,2012,FDES_CR
30mar12rg,RRV031,order2,2012_FDES_CR_30mar12rg,2012,FDES_CR
01oct13ms,RRV032,order2,2013_CUEMT_01oct13ms,2013,CUEMT
04nov13cl,RRV033,order1,2013_CUEMT_04nov13cl,2013,CUEMT
06nov13ed,RRV034,order2,2013_CUEMT_06nov13ed,2013,CUEMT
06nov13mb,RRV035,order1,2013_CUEMT_06nov13mb,2013,CUEMT
07nov13kj,RRV036,order2,2013_CUEMT_07nov13kj,2013,CUEMT
07oct13hb,RRV037,order1,2013_CUEMT_07oct13hb,2013,CUEMT
07oct13mm,RRV038,order2,2013_CUEMT_07oct13mm,2013,CUEMT
10oct13rs,RRV039,order2,2013_CUEMT_10oct13rs,2013,CUEMT
14oct13dg,RRV040,order1,2013_CUEMT_14oct13dg,2013,CUEMT
15nov13ah,RRV041,order1,2013_CUEMT_15nov13ah,2013,CUEMT
15nov13pn,RRV042,order2,2013_CUEMT_15nov13pn,2013,CUEMT
17oct13ad,RRV043,order2,2013_CUEMT_17oct13ad,2013,CUEMT
17oct13cc,RRV044,order1,2013_CUEMT_17oct13cc,2013,CUEMT
18nov13ab,RRV045,order1,2013_CUEMT_18nov13ab,2013,CUEMT
19nov13ap,RRV046,order2,2013_CUEMT_19nov13ap,2013,CUEMT
21oct13ac,RRV047,order2,2013_CUEMT_21oct13ac,2013,CUEMT
21oct13or,RRV048,order1,2013_CUEMT_21oct13or,2013,CUEMT
23oct13ab,RRV049,order2,2013_CUEMT_23oct13ab,2013,CUEMT
23oct13mg,RRV050,order1,2013_CUEMT_23oct13mg,2013,CUEMT
24oct13ak,RRV051,order1,2013_CUEMT_24oct13ak,2013,CUEMT
28oct13go,RRV052,order2,2013_CUEMT_28oct13go,2013,CUEMT
28oct13kb,RRV053,order1,2013_CUEMT_28oct13kb,2013,CUEMT
30sep13jn,RRV054,order1,2013_CUEMT_30sep13jn,2013,CUEMT
01apr14ap,RRV055,order2,2014_DCLUST_01apr14ap,2014,DCLUST
01apr14ap2,RRV056,order1,2014_DCLUST_01apr14ap2,2014,DCLUST
01apr14bm,RRV057,order2,2014_DCLUST_01apr14bm,2014,DCLUST
01apr14hw,RRV058,order1,2014_DCLUST_01apr14hw,2014,DCLUST
01apr14or,RRV059,order1,2014_DCLUST_01apr14or,2014,DCLUST
01may13yl,RRV060,order1,2014_DCLUST_01may13yl,2014,DCLUST
02apr13cv,RRV061,order2,2014_DCLUST_02apr13cv,2014,DCLUST
02apr13eh,RRV062,order1,2014_DCLUST_02apr13eh,2014,DCLUST
02may13lp,RRV063,order2,2014_DCLUST_02may13lp,2014,DCLUST
03apr13sh,RRV064,order1,2014_DCLUST_03apr13sh,2014,DCLUST
04may13rw,RRV065,order1,2014_DCLUST_04may13rw,2014,DCLUST
05mar13amk,RRV066,order1,2014_DCLUST_05mar13amk,2014,DCLUST
05oct13cs,RRV067,order1,2014_DCLUST_05oct13cs,2014,DCLUST
05oct13jl,RRV068,order2,2014_DCLUST_05oct13jl,2014,DCLUST
05oct13qh,RRV069,order2,2014_DCLUST_05oct13qh,2014,DCLUST
07apr14al,RRV070,order1,2014_DCLUST_07apr14al,2014,DCLUST
07mar13sv,RRV071,order1,2014_DCLUST_07mar13sv,2014,DCLUST
07oct13ad,RRV072,order1,2014_DCLUST_07oct13ad,2014,DCLUST
08apr14at,RRV073,order1,2014_DCLUST_08apr14at,2014,DCLUST
09oct13ag,RRV074,order2,2014_DCLUST_09oct13ag,2014,DCLUST
09oct13lh,RRV075,order1,2014_DCLUST_09oct13lh,2014,DCLUST
11apr13ch,RRV076,order1,2014_DCLUST_11apr13ch,2014,DCLUST
11apr13os,RRV077,order2,2014_DCLUST_11apr13os,2014,DCLUST
12oct13ea,RRV078,order1,2014_DCLUST_12oct13ea,2014,DCLUST
14apr14jt,RRV079,order2,2014_DCLUST_14apr14jt,2014,DCLUST
15apr14em,RRV080,order2,2014_DCLUST_15apr14em,2014,DCLUST
15apr14ks,RRV081,order1,2014_DCLUST_15apr14ks,2014,DCLUST
16apr13sp,RRV082,order2,2014_DCLUST_16apr13sp,2014,DCLUST
17apr13jr,RRV083,order1,2014_DCLUST_17apr13jr,2014,DCLUST
17apr13kw,RRV084,order2,2014_DCLUST_17apr13kw,2014,DCLUST
17apr13sj,RRV085,order1,2014_DCLUST_17apr13sj,2014,DCLUST
18apr13kb,RRV086,order2,2014_DCLUST_18apr13kb,2014,DCLUST
19apr13jp,RRV087,order2,2014_DCLUST_19apr13jp,2014,DCLUST
19apr13pa,RRV088,order1,2014_DCLUST_19apr13pa,2014,DCLUST
19apr14ad,RRV089,order1,2014_DCLUST_19apr14ad,2014,DCLUST
19apr14du,RRV090,order2,2014_DCLUST_19apr14du,2014,DCLUST
20jul13dy,RRV091,order1,2014_DCLUST_20jul13dy,2014,DCLUST
21apr14kf,RRV092,order1,2014_DCLUST_21apr14kf,2014,DCLUST
22apr14ef,RRV093,order1,2014_DCLUST_22apr14ef,2014,DCLUST
23apr13em,RRV094,order1,2014_DCLUST_23apr13em,2014,DCLUST
23apr14cp,RRV095,order1,2014_DCLUST_23apr14cp,2014,DCLUST
24apr13sh,RRV096,order2,2014_DCLUST_24apr13sh,2014,DCLUST
25apr13ag,RRV097,order1,2014_DCLUST_25apr13ag,2014,DCLUST
25apr13jc,RRV098,order2,2014_DCLUST_25apr13jc,2014,DCLUST
25feb13cp,RRV099,order1,2014_DCLUST_25feb13cp,2014,DCLUST
25feb13eb,RRV100,order2,2014_DCLUST_25feb13eb,2014,DCLUST
25feb13mb,RRV101,order2,2014_DCLUST_25feb13mb,2014,DCLUST
25oct13eb,RRV102,order2,2014_DCLUST_25oct13eb,2014,DCLUST
25oct13wl,RRV103,order1,2014_DCLUST_25oct13wl,2014,DCLUST
26apr14jl2,RRV104,order1,2014_DCLUST_26apr14jl2,2014,DCLUST
26feb13hs02,RRV105,order1,2014_DCLUST_26feb13hs02,2014,DCLUST
26feb13lh,RRV106,order2,2014_DCLUST_26feb13lh,2014,DCLUST
26mar13ew,RRV107,order2,2014_DCLUST_26mar13ew,2014,DCLUST
26mar13nr,RRV108,order1,2014_DCLUST_26mar13nr,2014,DCLUST
27apr14fg,RRV109,order2,2014_DCLUST_27apr14fg,2014,DCLUST
27apr14jl,RRV110,order1,2014_DCLUST_27apr14jl,2014,DCLUST
27feb13nm,RRV111,order2,2014_DCLUST_27feb13nm,2014,DCLUST
27mar13km,RRV112,order2,2014_DCLUST_27mar13km,2014,DCLUST
27oct13cm,RRV113,order1,2014_DCLUST_27oct13cm,2014,DCLUST
28apr13jz,RRV114,order1,2014_DCLUST_28apr13jz,2014,DCLUST
28feb13bm,RRV115,order2,2014_DCLUST_28feb13bm,2014,DCLUST
28feb13jr,RRV116,order1,2014_DCLUST_28feb13jr,2014,DCLUST
28feb13nk,RRV117,order1,2014_DCLUST_28feb13nk,2014,DCLUST
28feb13ow,RRV118,order2,2014_DCLUST_28feb13ow,2014,DCLUST
28mar13cm,RRV119,order2,2014_DCLUST_28mar13cm,2014,DCLUST
29apr13cz,RRV120,order1,2014_DCLUST_29apr13cz,2014,DCLUST
29apr13kw,RRV121,order2,2014_DCLUST_29apr13kw,2014,DCLUST
30apr13rn,RRV122,order2,2014_DCLUST_30apr13rn,2014,DCLUST
31mar14mj,RRV123,order1,2014_DCLUST_31mar14mj,2014,DCLUST
01may15fz,RRV124,ipro_order1,2015_IPRO_01may15fz,2015,IPRO
02apr15at,RRV125,ipro_order1,2015_IPRO_02apr15at,2015,IPRO
02jun15ky,RRV126,ipro_order2,2015_IPRO_02jun15ky,2015,IPRO
02jun15sm,RRV127,ipro_order1,2015_IPRO_02jun15sm,2015,IPRO
02mar15aj,RRV128,ipro_order2,2015_IPRO_02mar15aj,2015,IPRO
